timestamp,open,high,low,close,volume
2024-02-02,2304.28,2324.74,2281.94,2309.06,238230.511
2024-02-03,2309.07,2329.98,2292.75,2296.49,133232.845
2024-02-04,2296.5,2311.0,2266.0,2289.79,171232.0444
2024-02-05,2289.79,2338.41,2269.11,2301.83,236610.412
2024-02-06,2301.84,2392.4,2299.0,2372.64,368942.7498
2024-02-07,2372.63,2444.44,2354.0,2425.1,342791.7013
2024-02-08,2425.09,2463.15,2411.01,2419.55,338040.0539
2024-02-09,2419.56,2525.0,2419.16,2486.56,492384.385
2024-02-10,2486.56,2516.45,2471.57,2500.24,185099.59
2024-02-11,2500.24,2539.63,2493.45,2507.21,219975.1471
2024-02-12,2507.22,2665.58,2472.0,2659.99,449501.776
2024-02-13,2659.99,2686.12,2590.0,2639.99,502447.745
2024-02-14,2639.99,2786.0,2618.4,2774.81,461670.6944
2024-02-15,2774.8,2867.65,2759.25,2822.59,481689.1874
2024-02-16,2822.58,2857.4,2740.0,2801.8,378070.8037
2024-02-17,2801.81,2804.21,2719.01,2785.93,243302.8759
2024-02-18,2785.92,2895.0,2764.25,2881.2,367987.8833
2024-02-19,2881.2,2984.52,2856.93,2944.8,446451.0401
2024-02-20,2944.8,3033.09,2874.56,3014.81,634681.7471
2024-02-21,3014.81,3017.15,2868.0,2967.9,595955.0033
2024-02-22,2967.91,3036.02,2906.51,2971.4,563525.9936
2024-02-23,2971.4,2993.8,2906.05,2922.24,428826.5787
2024-02-24,2922.25,3007.48,2906.4,2992.62,243854.0783
2024-02-25,2992.62,3122.0,2983.61,3112.59,412306.2237
2024-02-26,3112.6,3196.0,3036.59,3175.94,546722.7747
2024-02-27,3175.95,3288.14,3160.02,3242.36,625939.1221
2024-02-28,3242.35,3488.0,3176.16,3383.1,947538.766
2024-02-29,3383.11,3522.81,3300.0,3340.09,759698.1123
2024-03-01,3340.1,3450.0,3338.54,3433.43,412788.5773
2024-03-02,3433.42,3460.04,3390.01,3421.4,283984.9448
2024-03-03,3421.39,3491.8,3360.0,3487.81,341631.531
2024-03-04,3487.8,3640.94,3423.78,3627.76,715360.6361
2024-03-05,3627.75,3822.04,3200.0,3553.65,1392904.864
2024-03-06,3553.66,3900.0,3499.4,3818.59,969494.71
2024-03-07,3818.58,3933.81,3735.0,3868.76,540780.675
2024-03-08,3868.76,3993.75,3820.0,3883.36,646399.2589
2024-03-09,3883.37,3942.0,3870.01,3905.21,254839.1386
2024-03-10,3905.2,3964.67,3791.26,3878.47,356664.68
2024-03-11,3878.47,4086.23,3722.95,4064.8,721554.5139
2024-03-12,4064.8,4093.92,3828.98,3979.96,632787.3941
2024-03-13,3979.97,4083.0,3932.23,4004.79,482305.7766
2024-03-14,4004.79,4010.98,3723.0,3881.7,648237.5245
2024-03-15,3881.69,3934.02,3570.0,3742.19,947537.4071
2024-03-16,3742.19,3781.12,3468.8,3523.09,548288.1569
2024-03-17,3523.09,3678.68,3412.0,3644.71,517790.9936
2024-03-18,3644.7,3645.02,3454.09,3520.46,570901.2851
2024-03-19,3520.47,3548.09,3150.88,3158.64,1049629.6936
2024-03-20,3158.65,3535.24,3056.56,3516.53,1207322.8201
2024-03-21,3516.53,3587.32,3412.0,3492.85,602755.2072
2024-03-22,3492.84,3542.52,3250.0,3336.35,558848.888
2024-03-23,3336.35,3435.48,3270.08,3329.53,323675.9448
2024-03-24,3329.53,3471.22,3298.76,3454.98,260824.1408
2024-03-25,3454.99,3666.0,3420.12,3590.42,548577.6942
2024-03-26,3590.43,3678.86,3542.62,3587.33,499013.8384
2024-03-27,3587.32,3665.84,3460.02,3501.19,443195.3297
2024-03-28,3501.2,3611.78,3465.0,3560.49,404654.0311
2024-03-29,3560.49,3584.37,3445.91,3509.74,323086.179
2024-03-30,3509.74,3565.81,3485.0,3505.64,216025.2634
2024-03-31,3505.65,3655.32,3505.09,3645.29,243464.9877
2024-04-01,3645.29,3645.95,3413.71,3503.8,408854.1225
2024-04-02,3503.8,3505.6,3212.0,3278.96,623264.6476
2024-04-03,3278.96,3367.4,3202.79,3310.83,410484.1933
2024-04-04,3310.83,3395.19,3250.92,3371.61,199374.119
